CloudletID,VMID,Type,PredictedTime,ActualTime,Error,Threshold,Energy
0,0,CPU,-1.00,43.21,0.0000,0.00400,4.3213
1,2,CPU,-1.00,58.87,0.0000,0.00400,5.8871
2,0,CPU,-1.00,25.65,0.0000,0.00400,2.5652
4,2,CPU,-1.00,23.68,0.0000,0.00400,2.3682
3,0,CPU,-1.00,45.63,0.0000,0.00400,4.5628
6,2,CPU,-1.00,51.53,0.0000,0.00400,5.1530
5,0,CPU,-1.00,24.24,0.0000,0.00400,2.4240
10,2,CPU,-1.00,45.42,0.0000,0.00400,4.5422
7,0,CPU,-1.00,41.84,0.0000,0.00400,4.1839
11,2,CPU,-1.00,11.87,0.0000,0.00400,1.1872
15,2,CPU,-1.00,3.36,0.0000,0.00400,0.3362
8,0,CPU,-1.00,47.34,0.0000,0.00400,4.7343
16,2,CPU,-1.00,38.76,0.0000,0.00400,3.8762
17,2,CPU,-1.00,23.10,0.0000,0.00400,2.3097
9,0,CPU,-1.00,33.62,0.0000,0.00400,3.3621
18,2,CPU,-1.00,17.81,0.0000,0.00400,1.7807
19,2,CPU,-1.00,10.25,0.0000,0.00400,1.0248
12,0,CPU,-1.00,47.12,0.0000,0.00400,4.7116
20,2,CPU,-1.00,27.40,0.0000,0.00400,2.7400
22,2,CPU,-1.00,0.17,0.0000,0.00400,0.0175
13,0,CPU,-1.00,20.66,0.0000,0.00400,2.0656
14,0,CPU,-1.00,22.67,0.0000,0.00400,2.2671
23,2,CPU,-1.00,41.37,0.0000,0.00400,4.1365
24,2,CPU,-1.00,6.15,0.0000,0.00400,0.6154
25,2,CPU,-1.00,3.86,0.0000,0.00400,0.3859
21,0,CPU,-1.00,33.88,0.0000,0.00400,3.3881
26,2,CPU,-1.00,54.50,0.0000,0.00400,5.4498
30,0,CPU,-1.00,33.12,0.0000,0.00400,3.3125
27,2,CPU,-1.00,5.78,0.0000,0.00400,0.5784
52,0,CPU,-1.00,18.57,0.0000,0.00400,1.8565
28,2,CPU,-1.00,26.07,0.0000,0.00400,2.6075
53,0,CPU,-1.00,40.15,0.0000,0.00400,4.0149
29,2,CPU,-1.00,38.73,0.0000,0.00400,3.8726
56,0,CPU,-1.00,31.37,0.0000,0.00400,3.1367
31,2,CPU,-1.00,27.96,0.0000,0.00400,2.7957
59,0,CPU,-1.00,26.26,0.0000,0.00400,2.6259
63,0,CPU,-1.00,39.69,0.0000,0.00400,3.9688
32,2,CPU,-1.00,59.68,0.0000,0.00400,5.9679
33,2,CPU,-1.00,28.40,0.0000,0.00400,2.8405
68,0,CPU,-1.00,40.18,0.0000,0.00400,4.0179
69,0,CPU,-1.00,37.92,0.0000,0.00400,3.7919
34,2,CPU,-1.00,48.94,0.0000,0.00400,4.8941
35,2,CPU,-1.00,0.30,0.0000,0.00400,0.0297
73,0,CPU,-1.00,25.96,0.0000,0.00400,2.5962
36,2,CPU,-1.00,43.86,0.0000,0.00400,4.3863
81,0,CPU,-1.00,31.97,0.0000,0.00400,3.1969
83,0,CPU,-1.00,8.57,0.0000,0.00400,0.8574
37,2,CPU,-1.00,27.18,0.0000,0.00400,2.7181
38,2,CPU,-1.00,0.75,0.0000,0.00400,0.0753
39,2,CPU,-1.00,34.20,0.0000,0.00400,3.4200
87,0,CPU,-1.00,46.70,0.0000,0.00400,4.6696
110,0,CPU,-1.00,44.31,0.0000,0.00400,4.4305
40,2,CPU,-1.00,55.41,0.0000,0.00400,5.5410
41,2,CPU,-1.00,2.38,0.0000,0.00400,0.2383
42,2,CPU,-1.00,7.50,0.0000,0.00400,0.7504
43,2,CPU,-1.00,3.72,0.0000,0.00400,0.3718
113,0,CPU,-1.00,39.14,0.0000,0.00400,3.9136
44,2,CPU,-1.00,28.90,0.0000,0.00400,2.8902
124,0,CPU,-1.00,37.01,0.0000,0.00400,3.7007
45,2,CPU,-1.00,34.38,0.0000,0.00400,3.4381
46,2,CPU,-1.00,15.97,0.0000,0.00400,1.5972
139,0,CPU,-1.00,29.53,0.0000,0.00400,2.9531
142,0,CPU,-1.00,40.57,0.0000,0.00400,4.0566
47,2,CPU,-1.00,52.44,0.0000,0.00400,5.2436
148,0,CPU,-1.00,18.77,0.0000,0.00400,1.8771
48,2,CPU,-1.00,24.61,0.0000,0.00400,2.4608
49,2,CPU,-1.00,5.90,0.0000,0.00400,0.5899
50,2,CPU,-1.00,2.15,0.0000,0.00400,0.2151
156,0,CPU,-1.00,23.53,0.0000,0.00400,2.3532
170,0,CPU,-1.00,40.48,0.0000,0.00400,4.0477
51,2,CPU,-1.00,50.28,0.0000,0.00400,5.0284
191,0,CPU,-1.00,28.40,0.0000,0.00400,2.8395
54,2,CPU,-1.00,59.42,0.0000,0.00400,5.9420
195,0,CPU,-1.00,40.87,0.0000,0.00400,4.0869
55,2,CPU,-1.00,40.33,0.0000,0.00400,4.0334
197,0,CPU,-1.00,43.36,0.0000,0.00400,4.3358
203,0,CPU,-1.00,34.25,0.0000,0.00400,3.4250
57,2,CPU,-1.00,43.27,0.0000,0.00400,4.3272
58,2,CPU,-1.00,2.64,0.0000,0.00400,0.2640
219,0,CPU,-1.00,19.87,0.0000,0.00400,1.9870
60,2,CPU,-1.00,25.42,0.0000,0.00400,2.5423
223,0,CPU,-1.00,42.29,0.0000,0.00400,4.2295
61,2,CPU,-1.00,50.76,0.0000,0.00400,5.0761
224,0,CPU,-1.00,27.42,0.0000,0.00400,2.7416
62,2,CPU,-1.00,10.84,0.0000,0.00400,1.0841
228,0,CPU,-1.00,36.90,0.0000,0.00400,3.6896
64,2,CPU,-1.00,38.06,0.0000,0.00400,3.8057
65,2,CPU,-1.00,12.79,0.0000,0.00400,1.2795
230,0,CPU,-1.00,41.63,0.0000,0.00400,4.1634
66,2,CPU,-1.00,30.26,0.0000,0.00400,3.0258
238,0,CPU,-1.00,20.12,0.0000,0.00400,2.0119
67,2,CPU,-1.00,22.64,0.0000,0.00400,2.2637
241,0,CPU,-1.00,39.08,0.0000,0.00400,3.9079
